Press or Release,Key,Time
P,Key.shift,1751140802723
P,H,1751140802867
R,Key.shift,1751140802890
R,h,1751140802925
P,e,1751140803026
R,e,1751140803090
P,l,1751140803145
R,l,1751140803203
P,l,1751140803270
R,l,1751140803341
P,o,1751140803434
R,o,1751140803518
P,Key.space,1751140803565
R,Key.space,1751140803630
P,w,1751140803755
R,w,1751140803839
P,o,1751140803876
R,o,1751140803930
P,r,1751140803966
R,r,1751140804026
P,l,1751140804086
R,l,1751140804178
P,d,1751140804231
R,d,1751140804316
P,.,1751140804460
R,.,1751140804539
P,Key.space,1751140804600
R,Key.space,1751140804641
P,Key.space,1751140804742
R,Key.space,1751140804804
P,Key.shift,1751140804822
P,W,1751140804911
R,Key.shift,1751140804944
P,h,1751140805014
R,w,1751140805017
R,h,1751140805060
P,a,1751140805111
P,t,1751140805212
R,a,1751140805244
R,t,1751140805287
P,',1751140805324
R,',1751140805406
P,s,1751140805464
R,s,1751140805536
P,Key.space,1751140805558
R,Key.space,1751140805647
P,g,1751140805774
P,o,1751140805831
R,g,1751140805861
P,i,1751140805932
P,n,1751140805973
R,o,1751140805981
R,i,1751140806050
P,g,1751140806060
R,n,1751140806061
R,g,1751140806117
P,Key.space,1751140806172
R,Key.space,1751140806264
P,o,1751140806265
P,n,1751140806353
R,o,1751140806407
R,n,1751140806482
P,Key.space,1751140806608
R,Key.space,1751140806740
P,t,1751140806811
R,t,1751140806861
P,o,1751140806886
R,o,1751140806960
P,d,1751140807010
P,a,1751140807109
R,d,1751140807136
P,y,1751140807175
R,y,1751140807225
R,a,1751140807239
P,Key.shift,1751140808042
P,?,1751140808103
R,?,1751140808165
R,Key.shift,1751140808225
P,Key.space,1751140808324
R,Key.space,1751140808383
P,Key.space,1751140808461
P,Key.shift,1751140808528
R,Key.space,1751140808541
P,I,1751140808613
R,Key.shift,1751140808655
R,i,1751140808657
P,',1751140808769
R,',1751140808844
P,m,1751140808904
R,m,1751140809016
P,Key.space,1751140809067
R,Key.space,1751140809140
P,t,1751140809495
R,t,1751140809563
P,y,1751140809636
P,p,1751140809734
R,y,1751140809740
R,p,1751140809826
P,i,1751140809894
P,n,1751140809982
R,i,1751140810042
P,g,1751140810045
R,n,1751140810081
R,g,1751140810106
P,Key.space,1751140810179
R,Key.space,1751140810242
P,o,1751140810400
P,n,1751140810433
R,o,1751140810493
R,n,1751140810527
P,c,1751140810597
P,e,1751140810657
R,c,1751140810708
R,e,1751140810754
P,Key.space,1751140810812
R,Key.space,1751140810883
P,a,1751140810973
R,a,1751140811081
P,g,1751140811157
P,a,1751140811237
R,g,1751140811305
R,a,1751140811353
P,i,1751140811365
P,n,1751140811456
R,i,1751140811506
R,n,1751140811538
P,.,1751140811800
R,.,1751140811866
P,Key.space,1751140811896
R,Key.space,1751140811948
P,Key.space,1751140812042
P,Key.shift,1751140812081
R,Key.space,1751140812097
P,H,1751140812256
R,Key.shift,1751140812278
R,h,1751140812314
P,o,1751140812482
R,o,1751140812631
P,p,1751140812654
R,p,1751140812742
P,e,1751140812989
R,e,1751140813057
P,f,1751140813303
R,f,1751140813394
P,u,1751140813434
R,u,1751140813587
P,l,1751140813589
R,l,1751140813693
P,l,1751140813773
R,l,1751140813849
P,y,1751140813958
R,y,1751140814032
P,,,1751140814213
R,,,1751140814303
P,Key.space,1751140814305
R,Key.space,1751140814375
P,Key.shift,1751140814406
P,I,1751140814508
R,I,1751140814556
R,Key.shift,1751140814557
P,Key.space,1751140814599
R,Key.space,1751140814624
P,d,1751140815055
R,d,1751140815074
P,o,1751140815390
R,o,1751140815482
