Press or Release,Key,Time
P,a,1751132548142
P,s,1751132548261
P,d,1751132548310
R,a,1751132548363
P,f,1751132548448
R,s,1751132548456
R,d,1751132548527
R,f,1751132548581
P,o,1751132548700
P,i,1751132548724
R,o,1751132548821
P,u,1751132548901
R,i,1751132548991
P,Key.space,1751132549085
R,u,1751132549154
P,o,1751132549226
R,Key.space,1751132549384
P,i,1751132549404
R,o,1751132549527
R,i,1751132549658
P,;,1751132549906
P,l,1751132550050
P,k,1751132550070
R,l,1751132550074
R,;,1751132550099
P,j,1751132550157
R,k,1751132550213
P,a,1751132550284
R,j,1751132550291
P,s,1751132550336
P,d,1751132550351
R,a,1751132550360
P,f,1751132550478
R,s,1751132550483
R,d,1751132550544
P,Key.space,1751132550577
R,f,1751132550625
P,;,1751132550675
R,Key.space,1751132550706
P,l,1751132550772
P,k,1751132550774
R,;,1751132550844
R,l,1751132550858
P,j,1751132550894
R,k,1751132550922
P,Key.space,1751132550965
R,j,1751132551016
R,Key.space,1751132551142
P,i,1751132551378
P,o,1751132551506
R,i,1751132551577
P,p,1751132551631
P,u,1751132551633
R,o,1751132551685
R,p,1751132551761
P,Key.space,1751132551805
R,u,1751132551854
R,Key.space,1751132552002
P,;,1751132552187
P,k,1751132552368
R,;,1751132552396
P,j,1751132552462
R,k,1751132552572
R,j,1751132552582
P,s,1751132552683
P,d,1751132552702
R,s,1751132552824
P,f,1751132552864
R,d,1751132552886
R,f,1751132552973
P,;,1751132552974
P,l,1751132553022
P,k,1751132553044
R,;,1751132553114
P,j,1751132553137
R,l,1751132553164
R,k,1751132553241
R,j,1751132553284
P,Key.space,1751132553293
P,a,1751132553351
R,Key.space,1751132553384
P,s,1751132553429
P,d,1751132553436
R,a,1751132553466
R,s,1751132553570
P,f,1751132553605
P,;,1751132553619
R,d,1751132553624
R,f,1751132553697
P,k,1751132553701
R,;,1751132553750
P,Key.space,1751132553793
R,k,1751132553833
R,Key.space,1751132553919
P,a,1751132553942
P,s,1751132554065
P,d,1751132554068
R,a,1751132554105
R,s,1751132554165
P,f,1751132554188
R,d,1751132554234
P,k,1751132554294
R,f,1751132554316
R,k,1751132554329
P,j,1751132554333
P,Key.space,1751132554335
P,a,1751132554358
R,j,1751132554361
P,;,1751132554430
P,d,1751132554438
R,Key.space,1751132554452
P,l,1751132554486
R,a,1751132554493
P,f,1751132554509
R,;,1751132554558
R,d,1751132554570
P,k,1751132554572
P,j,1751132554606
R,l,1751132554623
R,k,1751132554637
P,Key.space,1751132554666
R,f,1751132554670
R,j,1751132554680
P,a,1751132554691
R,Key.space,1751132554753
P,;,1751132554802
P,d,1751132554813
R,a,1751132554822
P,f,1751132554842
P,k,1751132554867
R,;,1751132554897
R,d,1751132554910
P,j,1751132554959
R,f,1751132554994
P,Key.space,1751132555005
R,k,1751132555009
R,j,1751132555053
P,;,1751132555122
R,Key.space,1751132555127
P,l,1751132555189
P,k,1751132555226
P,a,1751132555266
R,;,1751132555268
P,s,1751132555310
R,a,1751132555324
R,l,1751132555341
P,d,1751132555353
R,k,1751132555386
P,f,1751132555431
R,s,1751132555435
P,Key.space,1751132555453
R,d,1751132555497
R,f,1751132555573
R,Key.space,1751132555574
P,a,1751132555629
P,s,1751132555654
P,l,1751132555657
P,k,1751132555658
R,a,1751132555685
P,d,1751132555711
R,l,1751132555715
R,s,1751132555749
P,f,1751132555767
P,j,1751132555769
R,k,1751132555797
R,d,1751132555814
R,j,1751132555824
P,Key.space,1751132555825
R,f,1751132555869
R,Key.space,1751132555910
P,;,1751132555949
P,l,1751132555965
P,s,1751132555967
P,d,1751132556002
P,k,1751132556034
R,;,1751132556081
P,f,1751132556091
R,s,1751132556093
P,j,1751132556131
R,l,1751132556133
R,d,1751132556157
R,k,1751132556170
P,Key.space,1751132556174
R,j,1751132556192
R,f,1751132556236
R,Key.space,1751132556262
P,a,1751132556273
P,s,1751132556342
P,d,1751132556347
R,a,1751132556365
R,s,1751132556401
P,k,1751132556411
P,f,1751132556422
R,d,1751132556468
P,j,1751132556469
R,k,1751132556501
P,Key.space,1751132556516
R,j,1751132556544
R,f,1751132556573
P,a,1751132556594
R,Key.space,1751132556626
P,s,1751132556633
R,a,1751132556682
P,d,1751132556705
P,k,1751132556720
R,s,1751132556724
P,f,1751132556741
P,j,1751132556777
R,d,1751132556796
R,k,1751132556833
R,f,1751132556884
P,Key.space,1751132556886
P,a,1751132556889
R,j,1751132556890
R,Key.space,1751132556977
P,;,1751132556985
P,d,1751132556991
R,a,1751132557028
P,l,1751132557051
P,k,1751132557074
P,f,1751132557093
R,;,1751132557095
R,d,1751132557149
P,j,1751132557165
R,l,1751132557169
R,k,1751132557196
R,j,1751132557213
R,f,1751132557226
P,Key.space,1751132557237
R,Key.space,1751132557375
P,;,1751132557383
P,a,1751132557389
P,k,1751132557502
R,;,1751132557524
P,d,1751132557533
P,s,1751132557536
R,a,1751132557590
P,f,1751132557591
R,s,1751132557593
P,j,1751132557601
R,k,1751132557644
P,Key.space,1751132557649
R,d,1751132557659
R,j,1751132557674
R,f,1751132557741
P,a,1751132557757
R,Key.space,1751132557765
P,s,1751132557799
P,l,1751132557817
P,d,1751132557862
R,a,1751132557865
P,k,1751132557866
P,f,1751132557902
R,s,1751132557903
P,j,1751132557929
R,l,1751132557943
R,k,1751132557945
R,d,1751132557948
P,Key.space,1751132557988
R,j,1751132558016
P,a,1751132558045
R,f,1751132558054
P,l,1751132558069
P,s,1751132558097
R,Key.space,1751132558120
P,d,1751132558134
P,j,1751132558176
R,a,1751132558180
P,k,1751132558191
P,f,1751132558196
R,s,1751132558200
R,l,1751132558215
R,k,1751132558217
R,d,1751132558249
P,a,1751132558335
R,j,1751132558336
R,f,1751132558354
P,Key.space,1751132558378
P,s,1751132558401
P,d,1751132558415
P,o,1751132558430
R,Key.space,1751132558443
R,a,1751132558448
P,i,1751132558452
R,s,1751132558477
P,f,1751132558489
R,d,1751132558541
R,o,1751132558542
R,i,1751132558593
R,f,1751132558653
P,;,1751132558829
P,l,1751132558883
P,k,1751132558938
P,a,1751132558957
R,;,1751132558976
R,l,1751132559026
P,j,1751132559037
P,d,1751132559043
R,a,1751132559071
R,k,1751132559088
P,Key.space,1751132559117
P,f,1751132559139
R,j,1751132559157
R,d,1751132559185
P,;,1751132559201
P,l,1751132559234
R,Key.space,1751132559236
P,a,1751132559259
P,k,1751132559260
R,f,1751132559276
R,;,1751132559314
P,s,1751132559321
P,d,1751132559332
P,j,1751132559353
R,l,1751132559355
R,a,1751132559364
R,s,1751132559396
R,k,1751132559400
P,f,1751132559421
P,Key.space,1751132559432
R,j,1751132559460
R,d,1751132559463
P,a,1751132559545
R,f,1751132559553
P,;,1751132559554
P,l,1751132559570
R,Key.space,1751132559584
P,s,1751132559597
P,k,1751132559608
R,a,1751132559652
R,;,1751132559656
R,l,1751132559675
P,d,1751132559676
R,s,1751132559693
P,f,1751132559697
P,j,1751132559713
P,Key.space,1751132559737
R,d,1751132559754
R,k,1751132559761
R,j,1751132559806
P,;,1751132559821
P,a,1751132559828
R,f,1751132559845
P,l,1751132559881
P,s,1751132559892
R,Key.space,1751132559896
P,k,1751132559920
P,d,1751132559932
R,a,1751132559959
R,;,1751132559963
R,s,1751132559985
P,f,1751132559988
R,l,1751132559993
P,j,1751132560012
R,d,1751132560048
R,k,1751132560055
P,Key.space,1751132560082
R,j,1751132560128
P,a,1751132560141
R,f,1751132560156
P,;,1751132560182
R,Key.space,1751132560192
P,l,1751132560203
P,s,1751132560208
P,d,1751132560233
P,k,1751132560244
R,a,1751132560262
R,;,1751132560288
R,s,1751132560292
P,j,1751132560307
R,l,1751132560308
P,f,1751132560311
R,k,1751132560356
R,d,1751132560365
P,Key.space,1751132560369
R,j,1751132560444
P,;,1751132560460
P,a,1751132560474
R,f,1751132560484
P,s,1751132560537
P,d,1751132560544
R,a,1751132560585
R,s,1751132560608
R,;,1751132560615
P,j,1751132560629
P,f,1751132560645
R,d,1751132560688
P,;,1751132560777
R,f,1751132560789
R,j,1751132560790
