Press or Release,Key,Time
P,d,1735660001568
R,d,1735660001727
P,a,1735660002295
P,s,1735660002444
R,a,1735660002475
R,s,1735660002510
P,f,1735660002511
R,f,1735660002628
P,h,1735660004066
R,h,1735660004168
P,a,1735660004403
R,a,1735660004546
P,l,1735660004611
R,l,1735660004723
P,a,1735660004793
P,s,1735660004842
P,d,1735660004901
R,a,1735660004921
P,f,1735660005011
R,s,1735660005014
R,d,1735660005066
R,f,1735660005131
P,o,1735660005133
P,i,1735660005191
R,o,1735660005266
R,i,1735660005295
P,u,1735660005637
R,u,1735660005703
P,a,1735660005875
P,s,1735660006005
P,d,1735660006109
R,a,1735660006127
P,f,1735660006150
R,s,1735660006196
R,d,1735660006234
P,Key.space,1735660006241
R,f,1735660006288
P,o,1735660006327
R,Key.space,1735660006364
R,o,1735660006484
P,;,1735660006659
R,;,1735660006815
P,a,1735660006865
P,s,1735660006985
P,;,1735660007109
P,d,1735660007133
P,f,1735660007205
R,a,1735660007222
R,s,1735660007240
R,d,1735660007311
P,i,1735660007337
R,;,1735660007344
R,f,1735660007385
R,i,1735660007561
P,Key.space,1735660007588
P,a,1735660007774
R,Key.space,1735660007785
P,;,1735660007855
R,a,1735660007890
R,;,1735660007926
P,;,1735660008218
R,;,1735660008374
P,a,1735660008398
P,s,1735660008571
P,d,1735660008606
R,a,1735660008658
P,;,1735660008723
R,s,1735660008732
P,f,1735660008778
R,d,1735660008810
R,f,1735660008865
P,a,1735660008989
P,i,1735660009064
P,s,1735660009072
P,d,1735660009148
R,a,1735660009156
R,;,1735660009203
P,f,1735660009225
R,s,1735660009232
R,d,1735660009299
R,f,1735660009372
P,j,1735660009413
P,Key.space,1735660009464
R,i,1735660009483
R,j,1735660009587
P,o,1735660009745
R,Key.space,1735660009776
P,i,1735660009836
R,o,1735660009980
P,;,1735660010036
R,i,1735660010058
P,i,1735660010499
R,;,1735660010667
P,j,1735660010697
R,i,1735660010779
P,Key.space,1735660010781
R,j,1735660010874
P,;,1735660011083
R,Key.space,1735660011191
P,i,1735660011408
R,;,1735660011467
P,j,1735660011513
R,i,1735660011657
P,Key.space,1735660011658
R,j,1735660011663
P,;,1735660011680
R,;,1735660011813
P,;,1735660011899
R,Key.space,1735660011914
P,a,1735660012095
R,;,1735660012160
P,s,1735660012214
P,d,1735660012297
R,a,1735660012416
P,f,1735660012421
R,s,1735660012432
P,i,1735660012466
R,d,1735660012485
R,f,1735660012564
P,j,1735660012653
R,i,1735660012723
P,Key.space,1735660012751
R,j,1735660012828
P,;,1735660012943
R,Key.space,1735660013098
P,o,1735660013179
P,i,1735660013288
R,;,1735660013292
R,o,1735660013422
P,n,1735660013496
P,Key.space,1735660013574
R,i,1735660013587
R,n,1735660013662
P,;,1735660013755
R,Key.space,1735660013920
P,i,1735660014056
R,;,1735660014100
P,j,1735660014248
P,Key.space,1735660014316
R,j,1735660014376
R,i,1735660014395
P,;,1735660014446
R,Key.space,1735660014529
P,a,1735660014609
P,o,1735660014638
P,s,1735660014693
R,o,1735660014741
P,d,1735660014771
R,a,1735660014873
P,f,1735660014916
R,s,1735660014923
R,;,1735660014943
P,o,1735660014947
R,d,1735660014996
P,i,1735660015025
R,f,1735660015077
R,o,1735660015087
P,Key.space,1735660015156
R,i,1735660015176
P,;,1735660015252
P,a,1735660015348
R,Key.space,1735660015371
P,s,1735660015509
P,d,1735660015548
P,f,1735660015648
R,a,1735660015676
R,s,1735660015694
P,o,1735660015725
R,;,1735660015725
R,d,1735660015756
P,i,1735660015824
R,f,1735660015851
R,o,1735660015944
P,Key.space,1735660016003
R,i,1735660016036
P,;,1735660016124
R,Key.space,1735660016243
P,o,1735660016297
P,i,1735660016421
R,;,1735660016465
R,o,1735660016505
P,j,1735660016537
R,i,1735660016632
P,Key.space,1735660016680
R,j,1735660016748
P,a,1735660016848
P,s,1735660016946
P,d,1735660017001
R,Key.space,1735660017089
P,;,1735660017117
R,a,1735660017127
P,f,1735660017177
P,o,1735660017196
R,s,1735660017203
R,d,1735660017256
R,f,1735660017312
P,i,1735660017313
R,;,1735660017315
R,o,1735660017414
P,Key.space,1735660017457
R,i,1735660017496
P,;,1735660017593
P,a,1735660017656
R,Key.space,1735660017665
P,s,1735660017693
P,o,1735660017728
P,d,1735660017780
P,i,1735660017824
R,a,1735660017835
R,;,1735660017866
R,s,1735660017883
P,f,1735660017895
R,o,1735660017915
P,Key.space,1735660017948
R,d,1735660017964
R,i,1735660017964
R,f,1735660018028
P,;,1735660018094
P,a,1735660018132
R,Key.space,1735660018165
P,o,1735660018183
P,d,1735660018220
R,a,1735660018312
R,;,1735660018336
P,i,1735660018372
P,f,1735660018395
R,o,1735660018399
R,d,1735660018428
P,Key.space,1735660018431
R,i,1735660018464
R,f,1735660018508
P,;,1735660018536
P,a,1735660018560
R,Key.space,1735660018614
P,o,1735660018619
P,s,1735660018636
P,d,1735660018668
R,a,1735660018706
R,s,1735660018724
R,;,1735660018752
R,d,1735660018800
R,o,1735660018822
P,Key.space,1735660018827
P,i,1735660018861
R,i,1735660018896
P,a,1735660018928
P,;,1735660018960
R,Key.space,1735660019006
P,s,1735660019032
P,o,1735660019048
P,d,1735660019064
R,a,1735660019120
R,s,1735660019183
R,;,1735660019196
P,f,1735660019227
R,d,1735660019255
R,o,1735660019265
P,Key.space,1735660019292
R,f,1735660019364
P,;,1735660019416
P,a,1735660019419
R,Key.space,1735660019476
P,o,1735660019488
P,s,1735660019495
P,d,1735660019544
R,a,1735660019579
R,;,1735660019639
R,o,1735660019659
R,s,1735660019667
P,f,1735660019671
R,d,1735660019744
P,Key.space,1735660019756
R,f,1735660019792
P,a,1735660019968
P,s,1735660020024
R,Key.space,1735660020040
P,d,1735660020060
R,a,1735660020132
P,f,1735660020157
R,s,1735660020212
R,d,1735660020280
R,f,1735660020308
P,;,1735660020335
P,o,1735660020393
P,i,1735660020500
R,;,1735660020575
R,o,1735660020583
P,Key.space,1735660020615
P,j,1735660020626
R,i,1735660020678
R,j,1735660020679
P,a,1735660020751
R,Key.space,1735660020823
P,s,1735660020826
P,d,1735660020863
R,a,1735660021015
